Project_ID,Donor,Sample_ID,Number_Of_Cells,Clone_ID,In_Vivo_Clone_ID
P1856,YFV2001,P1856_1001,1,152x,19
P1856,YFV2001,P1856_1002,1,UNK,
P1856,YFV2001,P1856_1003,1,UNK,
P1856,YFV2001,P1856_1004,1,152x,19
P1856,YFV2001,P1856_1005,1,UNK,
P1856,YFV2001,P1856_1006,1,152x,19
P1856,YFV2001,P1856_1007,1,152x,19
P1856,YFV2001,P1856_1008,1,152x,19
P1856,YFV2001,P1856_1009,1,152x,19
P1856,YFV2001,P1856_1010,1,152x,19
P1856,YFV2001,P1856_1011,1,153x,20
P1856,YFV2001,P1856_1012,1,152x,19
P1856,YFV2001,P1856_1013,1,152x,19
P1856,YFV2001,P1856_1014,1,152x,19
P1856,YFV2001,P1856_1015,1,152x,19
P1856,YFV2001,P1856_1016,1,UNK,
P1856,YFV2001,P1856_1017,1,152x,19
P1856,YFV2001,P1856_1018,1,152x,19
P1856,YFV2001,P1856_1019,1,152x,19
P1856,YFV2001,P1856_1020,1,152x,19
P1856,YFV2001,P1856_1021,1,152x,19
P1856,YFV2001,P1856_1022,1,152x,19
P1856,YFV2001,P1856_1023,1,153x,20
P1856,YFV2001,P1856_1024,1,153x,20
P1856,YFV2001,P1856_1025,1,152x,19
P1856,YFV2001,P1856_1026,1,152x,19
P1856,YFV2001,P1856_1027,1,153x,20
P1856,YFV2001,P1856_1028,1,153x,20
P1856,YFV2001,P1856_1029,1,UNK,
P1856,YFV2001,P1856_1030,1,153x,20
P1856,YFV2001,P1856_1031,1,UNK,
P1856,YFV2001,P1856_1032,1,152x,19
P1856,YFV2001,P1856_1033,1,152x,19
P1856,YFV2001,P1856_1034,1,UNK,
P1856,YFV2001,P1856_1035,1,UNK,
P1856,YFV2001,P1856_1036,1,152x,19
P1856,YFV2001,P1856_1037,1,152x,19
P1856,YFV2001,P1856_1038,1,152x,19
P1856,YFV2001,P1856_1039,1,UNK,
P1856,YFV2001,P1856_1040,1,152x,19
P1856,YFV2001,P1856_1041,1,UNK,
P1856,YFV2001,P1856_1042,1,UNK,
P1856,YFV2001,P1856_1043,1,152x,19
P1856,YFV2001,P1856_1044,1,153x,20
P1856,YFV2001,P1856_1045,1,UNK,
P1856,YFV2001,P1856_1046,1,UNK,
P1856,YFV2001,P1856_1047,1,UNK,
P1856,YFV2001,P1856_1048,1,153x,20
P1856,YFV2001,P1856_1049,1,153x,20
P1856,YFV2001,P1856_1050,1,152x,19
P1856,YFV2001,P1856_1051,1,152x,19
P1856,YFV2001,P1856_1052,1,152x,19
P1856,YFV2001,P1856_1053,1,906,10
P1856,YFV2001,P1856_1054,1,153x,20
P1856,YFV2001,P1856_1055,1,153x,20
P1856,YFV2001,P1856_1056,1,152x,19
P1856,YFV2001,P1856_1057,1,906,10
P1856,YFV2001,P1856_1058,1,UNK,
P1856,YFV2001,P1856_1059,1,UNK,
P1856,YFV2001,P1856_1060,1,153x,20
P1856,YFV2001,P1856_1061,1,152x,19
P1856,YFV2001,P1856_1062,1,153x,20
P1856,YFV2001,P1856_1063,1,152x,19
P1856,YFV2001,P1856_1064,1,152x,19
P1856,YFV2001,P1856_1065,1,UNK,
P1856,YFV2001,P1856_1066,1,UNK,
P1856,YFV2001,P1856_1067,1,906,10
P1856,YFV2001,P1856_1068,1,152x,19
P1856,YFV2001,P1856_1069,1,152x,19
P1856,YFV2001,P1856_1070,1,UNK,
P1856,YFV2001,P1856_1071,1,152x,19
P1856,YFV2001,P1856_1072,1,152x,19
P1856,YFV2001,P1856_1073,1,152x,19
P1856,YFV2001,P1856_1074,1,UNK,
P1856,YFV2001,P1856_1075,1,152x,19
P1856,YFV2001,P1856_1076,1,152x,19
P1856,YFV2001,P1856_1077,1,UNK,
P1856,YFV2001,P1856_1078,1,153x,20
P1856,YFV2001,P1856_1079,1,152x,19
P1856,YFV2001,P1856_1080,1,UNK,
P1856,YFV2001,P1856_1081,1,152x,19
P1856,YFV2001,P1856_1082,1,152x,19
P1856,YFV2001,P1856_1083,1,152x,19
P1856,YFV2001,P1856_1084,1,152x,19
P1856,YFV2001,P1856_1085,1,UNK,
P1856,YFV2001,P1856_1086,1,152x,19
P1856,YFV2001,P1856_1087,1,152x,19
P1856,YFV2001,P1856_1088,1,152x,19
P1856,YFV2001,P1856_1089,1,UNK,
P1856,YFV2001,P1856_1090,1,UNK,
P1856,YFV2001,P1856_1091,1,152x,19
P1856,YFV2001,P1856_1092,1,UNK,
P1856,YFV2001,P1856_1093,1,152x,19
P1856,YFV2001,P1856_1094,1,152x,19
P1856,YFV2001,P1856_1095,1,UNK,
P1856,YFV2001,P1856_1096,1,UNK,
P1856,YFV2003,P1856_1097,1,188x,39
P1856,YFV2003,P1856_1098,1,198x,25
P1856,YFV2003,P1856_1099,1,188x,39
P1856,YFV2003,P1856_1100,1,188x,39
P1856,YFV2003,P1856_1101,1,188x,39
P1856,YFV2003,P1856_1102,1,188x,39
P1856,YFV2003,P1856_1103,1,200x,22
P1856,YFV2003,P1856_1104,1,188x,39
P1856,YFV2003,P1856_1105,1,188x,39
P1856,YFV2003,P1856_1106,1,188x,39
P1856,YFV2003,P1856_1107,1,200x,22
P1856,YFV2003,P1856_1108,1,188x,39
P1856,YFV2003,P1856_1109,1,200x,22
P1856,YFV2003,P1856_1110,1,198x,25
P1856,YFV2003,P1856_1111,1,188x,39
P1856,YFV2003,P1856_1112,1,188x,39
P1856,YFV2003,P1856_1113,1,188x,39
P1856,YFV2003,P1856_1114,1,188x,39
P1856,YFV2003,P1856_1115,1,198x,25
P1856,YFV2003,P1856_1116,1,188x,39
P1856,YFV2003,P1856_1117,1,188x,39
P1856,YFV2003,P1856_1118,1,188x,39
P1856,YFV2003,P1856_1119,1,198x,25
P1856,YFV2003,P1856_1120,1,188x,39
P1856,YFV2003,P1856_1121,1,188x,39
P1856,YFV2003,P1856_1122,1,188x,39
P1856,YFV2003,P1856_1123,1,198x,25
P1856,YFV2003,P1856_1124,1,198x,25
P1856,YFV2003,P1856_1125,1,188x,39
P1856,YFV2003,P1856_1126,1,188x,39
P1856,YFV2003,P1856_1127,1,188x,39
P1856,YFV2003,P1856_1128,1,198x,25
P1856,YFV2003,P1856_1129,1,188x,39
P1856,YFV2003,P1856_1130,1,188x,39
P1856,YFV2003,P1856_1131,1,188x,39
P1856,YFV2003,P1856_1132,1,188x,39
P1856,YFV2003,P1856_1133,1,188x,39
P1856,YFV2003,P1856_1134,1,200x,22
P1856,YFV2003,P1856_1135,1,188x,39
P1856,YFV2003,P1856_1136,1,188x,39
P1856,YFV2003,P1856_1137,1,188x,39
P1856,YFV2003,P1856_1138,1,188x,39
P1856,YFV2003,P1856_1139,1,188x,39
P1856,YFV2003,P1856_1140,1,198x,25
P1856,YFV2003,P1856_1141,1,188x,39
P1856,YFV2003,P1856_1142,1,200x,22
P1856,YFV2003,P1856_1143,1,188x,39
P1856,YFV2003,P1856_1144,1,188x,39
P1856,YFV2003,P1856_1145,1,198x,25
P1856,YFV2003,P1856_1146,1,198x,25
P1856,YFV2003,P1856_1147,1,200x,22
P1856,YFV2003,P1856_1148,1,188x,39
P1856,YFV2003,P1856_1149,1,198x,25
P1856,YFV2003,P1856_1150,1,UNK,
P1856,YFV2003,P1856_1151,1,188x,39
P1856,YFV2003,P1856_1152,1,188x,39
P1856,YFV2003,P1856_1153,1,188x,39
P1856,YFV2003,P1856_1154,1,200x,22
P1856,YFV2003,P1856_1155,1,188x,39
P1856,YFV2003,P1856_1156,1,200x,22
P1856,YFV2003,P1856_1157,1,198x,25
P1856,YFV2003,P1856_1158,1,188x,39
P1856,YFV2003,P1856_1159,1,188x,39
P1856,YFV2003,P1856_1160,1,188x,39
P1856,YFV2003,P1856_1161,1,188x,39
P1856,YFV2003,P1856_1162,1,188x,39
P1856,YFV2003,P1856_1163,1,198x,25
P1856,YFV2003,P1856_1164,1,188x,39
P1856,YFV2003,P1856_1165,1,188x,39
P1856,YFV2003,P1856_1166,1,188x,39
P1856,YFV2003,P1856_1167,1,198x,25
P1856,YFV2003,P1856_1168,1,198x,25
P1856,YFV2003,P1856_1169,1,188x,39
P1856,YFV2003,P1856_1170,1,188x,39
P1856,YFV2003,P1856_1171,1,200x,22
P1856,YFV2003,P1856_1172,1,188x,39
P1856,YFV2003,P1856_1173,1,188x,39
P1856,YFV2003,P1856_1174,1,188x,39
P1856,YFV2003,P1856_1175,1,188x,39
P1856,YFV2003,P1856_1176,1,188x,39
P1856,YFV2003,P1856_1177,1,188x,39
P1856,YFV2003,P1856_1178,1,188x,39
P1856,YFV2003,P1856_1179,1,188x,39
P1856,YFV2003,P1856_1180,1,188x,39
P1856,YFV2003,P1856_1181,1,188x,39
P1856,YFV2003,P1856_1182,1,188x,39
P1856,YFV2003,P1856_1183,1,188x,39
P1856,YFV2003,P1856_1184,1,188x,39
P1856,YFV2003,P1856_1185,1,UNK,
P1856,YFV2003,P1856_1186,1,188x,39
P1856,YFV2003,P1856_1187,1,188x,39
P1856,YFV2003,P1856_1188,1,198x,25
P1856,YFV2003,P1856_1189,1,188x,39
P1856,YFV2003,P1856_1190,1,188x,39
P1856,YFV2003,P1856_1191,1,188x,39
P1856,YFV2003,P1856_1192,1,188x,39
P1902,YFV2001,P1902_1289,1,E4,52
P1902,YFV2001,P1902_1290,1,E4,52
P1902,YFV2001,P1902_1291,1,E4,52
P1902,YFV2001,P1902_1292,1,E4,52
P1902,YFV2001,P1902_1293,1,A7,46
P1902,YFV2001,P1902_1294,1,A7,46
P1902,YFV2001,P1902_1295,1,A7,46
P1902,YFV2001,P1902_1296,1,A7,46
P1902,YFV2001,P1902_1297,1,E4,52
P1902,YFV2001,P1902_1298,1,E4,52
P1902,YFV2001,P1902_1299,1,E4,52
P1902,YFV2001,P1902_1300,1,E4,52
P1902,YFV2001,P1902_1301,1,A7,46
P1902,YFV2001,P1902_1302,1,A7,46
P1902,YFV2001,P1902_1303,1,A7,46
P1902,YFV2001,P1902_1304,1,A7,46
P1902,YFV2001,P1902_1305,1,E4,52
P1902,YFV2001,P1902_1306,1,E4,52
P1902,YFV2001,P1902_1307,1,E4,52
P1902,YFV2001,P1902_1308,1,E4,52
P1902,YFV2001,P1902_1309,1,A7,46
P1902,YFV2001,P1902_1310,1,A7,46
P1902,YFV2001,P1902_1311,1,A7,46
P1902,YFV2001,P1902_1312,1,A7,46
P1902,YFV2001,P1902_1313,1,E4,52
P1902,YFV2001,P1902_1314,1,E4,52
P1902,YFV2001,P1902_1315,1,E4,52
P1902,YFV2001,P1902_1316,1,E4,52
P1902,YFV2001,P1902_1317,1,A7,46
P1902,YFV2001,P1902_1318,1,A7,46
P1902,YFV2001,P1902_1319,1,A7,46
P1902,YFV2001,P1902_1320,1,A7,46
P1902,YFV2001,P1902_1321,1,E4,52
P1902,YFV2001,P1902_1322,1,E4,52
P1902,YFV2001,P1902_1323,1,E4,52
P1902,YFV2001,P1902_1324,1,E4,52
P1902,YFV2001,P1902_1325,1,A7,46
P1902,YFV2001,P1902_1326,1,A7,46
P1902,YFV2001,P1902_1327,1,A7,46
P1902,YFV2001,P1902_1328,1,A7,46
P1902,YFV2001,P1902_1329,1,E4,52
P1902,YFV2001,P1902_1330,1,E4,52
P1902,YFV2001,P1902_1331,1,E4,52
P1902,YFV2001,P1902_1332,1,E4,52
P1902,YFV2001,P1902_1333,1,A7,46
P1902,YFV2001,P1902_1334,1,A7,46
P1902,YFV2001,P1902_1335,1,A7,46
P1902,YFV2001,P1902_1336,1,A7,46
P1902,YFV2001,P1902_1337,1,E4,52
P1902,YFV2001,P1902_1338,1,E4,52
P1902,YFV2001,P1902_1339,1,E4,52
P1902,YFV2001,P1902_1340,1,E4,52
P1902,YFV2001,P1902_1341,1,A7,46
P1902,YFV2001,P1902_1342,1,A7,46
P1902,YFV2001,P1902_1343,1,A7,46
P1902,YFV2001,P1902_1344,1,A7,46
P1902,YFV2001,P1902_1345,1,E4,52
P1902,YFV2001,P1902_1346,1,E4,52
P1902,YFV2001,P1902_1347,1,E4,52
P1902,YFV2001,P1902_1348,1,E4,52
P1902,YFV2001,P1902_1349,1,A7,46
P1902,YFV2001,P1902_1350,1,A7,46
P1902,YFV2001,P1902_1351,1,A7,46
P1902,YFV2001,P1902_1352,1,A7,46
P1902,YFV2001,P1902_1353,1,E4,52
P1902,YFV2001,P1902_1354,1,E4,52
P1902,YFV2001,P1902_1355,1,E4,52
P1902,YFV2001,P1902_1356,1,E4,52
P1902,YFV2001,P1902_1357,1,A7,46
P1902,YFV2001,P1902_1358,1,A7,46
P1902,YFV2001,P1902_1359,1,A7,46
P1902,YFV2001,P1902_1360,1,A7,46
P1902,YFV2001,P1902_1361,1,E4,52
P1902,YFV2001,P1902_1362,1,E4,52
P1902,YFV2001,P1902_1363,1,E4,52
P1902,YFV2001,P1902_1364,1,E4,52
P1902,YFV2001,P1902_1365,1,A7,46
P1902,YFV2001,P1902_1366,1,A7,46
P1902,YFV2001,P1902_1367,1,A7,46
P1902,YFV2001,P1902_1368,1,A7,46
P1902,YFV2001,P1902_1369,1,E4,52
P1902,YFV2001,P1902_1370,1,E4,52
P1902,YFV2001,P1902_1371,1,E4,52
P1902,YFV2001,P1902_1372,1,E4,52
P1902,YFV2001,P1902_1373,1,A7,46
P1902,YFV2001,P1902_1374,1,A7,46
P1902,YFV2001,P1902_1375,1,A7,46
P1902,YFV2001,P1902_1376,1,A7,46
P1902,YFV2001,P1902_1377,1,E4,52
P1902,YFV2001,P1902_1378,1,E4,52
P1902,YFV2001,P1902_1379,1,E4,52
P1902,YFV2001,P1902_1380,50,E4,52
P1902,YFV2001,P1902_1381,1,A7,46
P1902,YFV2001,P1902_1382,50,A7,46
P1902,YFV2001,P1902_1383,1,A7,46
P1902,YFV2001,P1902_1384,50,A7,46
P1902,YFV2001,P1902_1385,1,A8,49
P1902,YFV2001,P1902_1386,1,A8,49
P1902,YFV2001,P1902_1387,1,A8,49
P1902,YFV2001,P1902_1388,1,A8,49
P1902,YFV2001,P1902_1389,1,A8,49
P1902,YFV2001,P1902_1390,1,A8,49
P1902,YFV2001,P1902_1391,1,A8,49
P1902,YFV2001,P1902_1392,1,A8,49
P1902,YFV2001,P1902_1393,1,A8,49
P1902,YFV2001,P1902_1394,1,A8,49
P1902,YFV2001,P1902_1395,1,A8,49
P1902,YFV2001,P1902_1396,1,A8,49
P1902,YFV2001,P1902_1397,1,A8,49
P1902,YFV2001,P1902_1398,1,A8,49
P1902,YFV2001,P1902_1399,1,A8,49
P1902,YFV2001,P1902_1400,1,A8,49
P1902,YFV2001,P1902_1401,1,A8,49
P1902,YFV2001,P1902_1402,1,A8,49
P1902,YFV2001,P1902_1403,1,A8,49
P1902,YFV2001,P1902_1404,1,A8,49
P1902,YFV2001,P1902_1405,1,A8,49
P1902,YFV2001,P1902_1406,1,A8,49
P1902,YFV2001,P1902_1407,1,A8,49
P1902,YFV2001,P1902_1408,1,A8,49
P1902,YFV2001,P1902_1409,1,A8,49
P1902,YFV2001,P1902_1410,1,A8,49
P1902,YFV2001,P1902_1411,1,A8,49
P1902,YFV2001,P1902_1412,1,A8,49
P1902,YFV2001,P1902_1413,1,A8,49
P1902,YFV2001,P1902_1414,1,A8,49
P1902,YFV2001,P1902_1415,1,A8,49
P1902,YFV2001,P1902_1416,1,A8,49
P1902,YFV2001,P1902_1417,1,G6,15
P1902,YFV2001,P1902_1418,1,G6,15
P1902,YFV2001,P1902_1419,1,G6,15
P1902,YFV2001,P1902_1420,1,G6,15
P1902,YFV2001,P1902_1421,1,G6,15
P1902,YFV2001,P1902_1422,1,G6,15
P1902,YFV2001,P1902_1423,1,G6,15
P1902,YFV2001,P1902_1424,1,G6,15
P1902,YFV2001,P1902_1425,1,G6,15
P1902,YFV2001,P1902_1426,1,G6,15
P1902,YFV2001,P1902_1427,1,G6,15
P1902,YFV2001,P1902_1428,1,G6,15
P1902,YFV2001,P1902_1429,1,G6,15
P1902,YFV2001,P1902_1430,1,G6,15
P1902,YFV2001,P1902_1431,1,G6,15
P1902,YFV2001,P1902_1432,1,G6,15
P1902,YFV2001,P1902_1433,1,G6,15
P1902,YFV2001,P1902_1434,1,G6,15
P1902,YFV2001,P1902_1435,1,G6,15
P1902,YFV2001,P1902_1436,1,G6,15
P1902,YFV2001,P1902_1437,1,G6,15
P1902,YFV2001,P1902_1438,1,G6,15
P1902,YFV2001,P1902_1439,1,G6,15
P1902,YFV2001,P1902_1440,1,G6,15
P1902,YFV2001,P1902_1441,1,G6,15
P1902,YFV2001,P1902_1442,1,G6,15
P1902,YFV2001,P1902_1443,1,G6,15
P1902,YFV2001,P1902_1444,1,G6,15
P1902,YFV2001,P1902_1445,1,G6,15
P1902,YFV2001,P1902_1446,1,G6,15
P1902,YFV2001,P1902_1447,1,G6,15
P1902,YFV2001,P1902_1448,1,G6,15
P1902,YFV2001,P1902_1449,1,G8,57
P1902,YFV2001,P1902_1450,1,G8,57
P1902,YFV2001,P1902_1451,1,G8,57
P1902,YFV2001,P1902_1452,1,G8,57
P1902,YFV2001,P1902_1453,1,G8,57
P1902,YFV2001,P1902_1454,1,G8,57
P1902,YFV2001,P1902_1455,1,G8,57
P1902,YFV2001,P1902_1456,1,G8,57
P1902,YFV2001,P1902_1457,1,G8,57
P1902,YFV2001,P1902_1458,1,G8,57
P1902,YFV2001,P1902_1459,1,G8,57
P1902,YFV2001,P1902_1460,1,G8,57
P1902,YFV2001,P1902_1461,1,G8,57
P1902,YFV2001,P1902_1462,1,G8,57
P1902,YFV2001,P1902_1463,1,G8,57
P1902,YFV2001,P1902_1464,1,G8,57
P1902,YFV2001,P1902_1465,1,G8,57
P1902,YFV2001,P1902_1466,1,G8,57
P1902,YFV2001,P1902_1467,1,G8,57
P1902,YFV2001,P1902_1468,1,G8,57
P1902,YFV2001,P1902_1469,1,G8,57
P1902,YFV2001,P1902_1470,1,G8,57
P1902,YFV2001,P1902_1471,1,G8,57
P1902,YFV2001,P1902_1472,1,G8,57
P1902,YFV2001,P1902_1473,1,G8,57
P1902,YFV2001,P1902_1474,1,G8,57
P1902,YFV2001,P1902_1475,1,G8,57
P1902,YFV2001,P1902_1476,1,G8,57
P1902,YFV2001,P1902_1477,1,G8,57
P1902,YFV2001,P1902_1478,1,G8,57
P1902,YFV2001,P1902_1479,1,G8,57
P1902,YFV2001,P1902_1480,1,G8,57
P1902,YFV2001,P1902_1481,1,H2,33
P1902,YFV2001,P1902_1482,1,H2,33
P1902,YFV2001,P1902_1483,1,H2,33
P1902,YFV2001,P1902_1484,1,H2,33
P1902,YFV2001,P1902_1485,1,H9,35
P1902,YFV2001,P1902_1486,1,H9,35
P1902,YFV2001,P1902_1487,1,H9,35
P1902,YFV2001,P1902_1488,0,,
P1902,YFV2001,P1902_1489,1,H2,33
P1902,YFV2001,P1902_1490,1,H2,33
